GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
24031701408,12.74509804,8.6,20.46242775,8.2,2.4,21.1,21.79218968,8.3,3.757225434,4.138185849,56.01464435,0,0,1.560693642,0,0.488145049
48245010500,35.35924085,11.9,26.25237793,17.2,25.7,10.2,29.55264347,16.3,11.98478123,6.973330071,64.14369634,2.218330414,0,0.887761573,12.9,0
42003501000,25.23306401,7.1,35.25798526,4.8,5,20.1,18.52082039,20.4,9.090909091,0.192554557,7.271597265,12.36080178,0,0,11.9,0
17031829903,23.13191882,17.4,27.34282325,9.9,3.8,16.8,19.44188192,10.2,12.21826809,1.373756514,91.39760148,4.540598291,0,2.965599051,1,0
17119402300,26.99285322,9.5,23.73737374,4.2,5.9,17.6,23.60282149,23.5,12.5,0,21.37818774,4.777415852,0,0,3.4,1.410743353
39041011765,7.816610297,1.2,22.14532872,4.2,2.5,16.2,25.96768132,7.1,4.498269896,0,11.61217587,0,0,0,1.6,0
34023007910,17.04788045,7.7,35.98300971,5.4,3.8,38.2,11.63402514,17.7,2.973300971,3.740275284,34.69745688,1.657142857,0,0,12.6,4.15083309
54081000804,25.02232542,1.4,22.32897771,11,6.6,27.3,13.08249914,23.4,1.575710992,0.338922583,14.84294097,1.440112399,21.3,0.49961568,7.5,3.607179841
48479001813,30.42479908,10.8,12.89308176,31.9,25.9,18.2,24.43181818,15.9,1.886792453,28.72727273,96.13636364,0,17.3,5.34591195,10.1,0
27053021505,7.728740581,3.9,23.80224261,5.2,4.7,15.5,20.51607445,11.1,5.147808359,1.489117984,37.45769882,39.89847716,0,1.121304791,4.8,2.538071066
6065030103,31.17270789,8.6,34.76027397,35.2,4.3,9.9,25.68027211,15.6,4.452054795,13.22389421,82.14285714,15.50151976,3,9.246575342,12.3,3.18877551
18021040600,19.44074567,1.9,17.42660837,10.3,6.6,16,21.17177097,13.6,3.685196752,0,1.864181092,0.493962678,19.8,0.749531543,2.9,0
48339690204,16.40495104,17.4,22.05726405,3.1,20,12.3,25.62648619,16.7,1.378579003,0.078186083,8.79824401,9.188911704,25.3,3.022269353,1.9,0
39085200100,16.42376682,8,23.60515021,8.2,3.1,18.9,13.06053812,12.8,4.077253219,0.998238403,15.41479821,37.62183236,0,1.072961373,9.3,0
27123034900,31.79082017,4.6,33.86934673,0,1.4,8.2,12.70962048,4.3,0,0,9.032068255,28.99505766,0,0,8.2,22.06531333
37051980100,,-666666666,,-666666666,-666666666,-666666666,,-666666666,,,,,-666666666,,-666666666,
25005642200,38.61411643,8.6,35.98191214,27,2.9,21.4,25.74947711,20.5,14.40568475,6.335877863,28.16639554,9.722222222,0,2.906976744,11.8,10.10922612
42089300406,12.46062303,1.2,23.012939,7.4,1.2,25.8,15.22576129,21.3,3.327171904,2.258064516,18.06090305,0,9.9,3.327171904,0,0
41051004300,14.16015625,1.4,21.31147541,1.9,5.6,14.6,15.625,12.7,2.049180328,0,9.5703125,1.657458564,0,0,6.6,0
36001013706,3.07234886,1.9,9.349593496,3,1.7,17.6,25.23272905,8.4,5.013550136,1.634320735,8.819206271,0,0,0,4.5,0.244977952
39095003100,41.34615385,1.2,38.63636364,9,5.6,17.7,23.3974359,14.9,8.181818182,0,76.38888889,3.90070922,0,2.727272727,16.1,0
1087231601,16.27697842,8,11.00196464,10.8,11.7,32.6,8.625336927,17.5,2.161100196,0,84.90566038,0,27.4,0.785854617,0,0
12011110354,49.57941613,5.8,66.88432836,8,12.5,65.7,4.48622794,27.8,2.611940299,31.11222445,85.37027874,88.46820809,2.2,3.233830846,26.6,0
1103000400,22.96296296,1.6,18.76513317,18.6,6.8,14.7,16.41452345,11.5,1.271186441,2.023653088,41.301059,10.29116466,0.3,3.87409201,4.7,11.67423096
1125010205,14.70093315,0.6,17.18885988,2.2,2.5,11.7,27.21431849,21.5,11.66231506,0.114980289,10.8459538,0,8.3,0,0.4,0
6073016202,22.29140722,8.6,38.93866299,7.7,9.5,4,28.31880448,12.6,12.74982771,3.311938383,57.26027397,53.3028123,0,12.47415575,11.5,0.199252802
12071050319,5.922165821,1.2,12.52587992,6.7,11.5,65.5,6.175972927,14.5,1.242236025,3.214890017,1.861252115,9.517241379,0,0,3.2,0
35045000900,13.29507413,7.2,19.12568306,18.6,11.5,13.4,25.15222482,12.6,8.469945355,1.355421687,54.28571429,0,61.6,1.229508197,0,0
